instance_name,num_nodes,instance_type,best_fitness,current_iteration,last_update_iteration,last_update_time,stalled_iterations,largest_iteration_offset
singlecenter-alpha_1-77-n50,50,singlecenter,882.9248,6900.4,2987.2,26.215712,3913.2,1256.8
singlecenter-alpha_3-76-n50,50,singlecenter,1012.787,6983.6,2551.2,21.67283,4432.4,873.6
singlecenter-alpha_3-71-n50,50,singlecenter,826.4,7007.2,2824.6,23.9549,4182.6,1124.2
singlecenter-alpha_3-78-n50,50,singlecenter,1024.2926,6970.6,2780.8,24.311192,4189.8,1180
singlecenter-79-n50,50,singlecenter,912.4824,6985.4,2361.6,20.359062,4623.8,1101.8
singlecenter-alpha_3-77-n50,50,singlecenter,875.1436,7036.8,3624.2,30.890678,3412.6,1350.4
singlecenter-72-n50,50,singlecenter,961.3614,6969.6,3135.6,26.89882,3834,1778
singlecenter-alpha_1-71-n50,50,singlecenter,826.4,7038.8,2824.6,23.94614,4214.2,1124.2
singlecenter-alpha_3-73-n50,50,singlecenter,698.93,7008.6,4368.4,37.152602,2640.2,2096.2
singlecenter-73-n50,50,singlecenter,698.93,7051.2,4368.4,37.273878,2682.8,2096.2
singlecenter-alpha_3-79-n50,50,singlecenter,912.4824,7038.6,2361.6,20.011042,4677,1101.8
singlecenter-alpha_1-74-n50,50,singlecenter,1044.864,6971.6,4270.2,37.14068,2701.4,2668.4
singlecenter-alpha_3-74-n50,50,singlecenter,1044.864,6990.6,4270.2,36.77409,2720.4,2668.4
singlecenter-alpha_1-80-n50,50,singlecenter,1056.46,6993.2,2783.4,24.021098,4209.8,1486.2
singlecenter-alpha_1-76-n50,50,singlecenter,1012.787,7027.2,2551.2,21.805236,4476,873.6
singlecenter-76-n50,50,singlecenter,1012.787,7008.6,2551.2,21.89367,4457.4,873.6
singlecenter-78-n50,50,singlecenter,1024.2926,6986,2780.8,24.283828,4205.2,1180
singlecenter-alpha_3-72-n50,50,singlecenter,961.3614,6997.6,3135.6,26.7949,3862,1778
singlecenter-71-n50,50,singlecenter,826.4,7063.2,2824.6,24.05992,4238.6,1124.2
