instance_name,num_nodes,instance_type,alpha,optimal_tsp_solution,best_fitness,opt_to_fit_dist,opt_to_fit_percent,current_iteration,last_update_iteration,current_time,last_update_time,stalled_iterations,largest_iteration_offset
uniform-100-n100,100,uniform,1,793.6156,858.8255999999999,65.2100,108.2168%,1261.4,1175.8,60.02702000000001,55.76862,85.6,105.4
uniform-100-n100,100,uniform,2,793.6156,675.5426000000001,-118.0730,85.1221%,2047.2,1703.0,60.01694,49.918420000000005,344.2,271.8
uniform-100-n100,100,uniform,3,793.6156,620.653,-172.9626,78.2057%,2311.4,2017.0,60.013200000000005,52.48634,294.4,583.8

uniform-92-n100,100,uniform,1,748.4571,819.1998000000001,70.7427,109.4518%,1195.6,1146.2,60.040499999999994,57.587300000000006,49.4,130.0
uniform-92-n100,100,uniform,2,748.4112,634.1265999999999,-114.2846,84.7297%,2029.6,1784.4,60.016380000000005,52.71226,245.2,272.6
uniform-92-n100,100,uniform,3,748.4112,582.3232,-166.0880,77.8079%,2080.8,1847.4,60.011939999999996,53.154819999999994,233.4,446.8

uniform-94-n100,100,uniform,1,769.1720,858.551,89.3790,111.6202%,1244.6,1206.6,60.02286,58.189080000000004,38.0,108.0
uniform-94-n100,100,uniform,2,769.8060,644.1846,-125.6214,83.6814%,1986.6,1861.8,60.0154,56.26658,124.8,185.2
uniform-94-n100,100,uniform,3,769.4268,598.0870000000001,-171.3398,77.7315%,2286.2,2010.2,60.01161999999999,52.774119999999996,276.0,392.4

uniform-96-n100,100,uniform,1,791.8532,839.5838,47.7306,106.0277%,1239.8,1208.4,60.020619999999994,58.43916,31.4,109.2
uniform-96-n100,100,uniform,2,791.8532,721.6778,-70.1754,91.1378%,2057.2,1787.8,60.0164,52.41528000000001,269.4,385.2
uniform-96-n100,100,uniform,3,792.4655,652.9985999999999,-139.4669,82.4009%,2340.6,2234.2,60.0157,57.31154,106.4,522.0

uniform-95-n100,100,uniform,1,789.6482,865.2558000000001,75.6076,109.5748%,1229.0,1173.4,60.03402,57.395920000000004,55.6,113.6
uniform-95-n100,100,uniform,2,789.6085,727.589,-62.0195,92.1455%,2054.8,1931.4,60.01408,56.298,123.4,317.8
uniform-95-n100,100,uniform,3,789.6085,639.5162,-150.0923,80.9916%,2252.6,1889.4,60.01414,50.3412,363.2,306.2

uniform-99-n100,100,uniform,1,795.8634,820.9554,25.0920,103.1528%,1250.0,1207.0,60.01732,57.87402000000001,43.0,107.2
uniform-99-n100,100,uniform,2,796.6310,689.3581999999999,-107.2728,86.5342%,2038.8,1771.8,60.01804,51.990559999999995,267.0,246.6
uniform-99-n100,100,uniform,3,796.6310,670.1351999999999,-126.4958,84.1212%,2293.8,1889.8,60.013380000000005,49.434720000000006,404.0,257.2

uniform-93-n100,100,uniform,1,766.2274,814.6362,48.4088,106.3178%,1258.2,1173.4,60.023160000000004,55.856880000000004,84.8,71.0
uniform-93-n100,100,uniform,2,766.2274,639.6172,-126.6102,83.4762%,2022.4,1732.2,60.01876,51.47486,290.2,258.6
uniform-93-n100,100,uniform,3,766.2274,614.9488,-151.2786,80.2567%,2346.4,2219.4,60.01114,56.6703,127.0,317.2

uniform-91-n100,100,uniform,1,803.7473,900.7798,97.0325,112.0725%,1258.2,1245.4,60.03045999999999,59.39058,12.8,144.8
uniform-91-n100,100,uniform,2,805.1977,671.5684,-133.6293,83.4042%,2003.4,1823.8,60.0082,54.43706000000001,179.6,279.0
uniform-91-n100,100,uniform,3,803.7473,612.0086000000001,-191.7387,76.1444%,2255.4,1864.8,60.01408,49.22382,390.6,571.0

singlecenter-75-n50,50,singlecenter,1,1015.5078,784.937,-230.5708,77.2950%,2831.0,2077.4,60.01178,43.98291999999999,753.6,966.2
singlecenter-75-n50,50,singlecenter,2,1015.5078,589.5494000000001,-425.9584,58.0546%,4081.0,1677.0,60.00602,25.430744,2404.0,719.4
singlecenter-75-n50,50,singlecenter,3,1015.5078,516.047,-499.4608,50.8166%,4473.6,2207.4,60.0049,29.96073,2266.2,1363.0

singlecenter-74-n50,50,singlecenter,1,907.3788,743.5548,-163.8240,81.9454%,2921.4,1655.4,60.01078,34.29132,1266.0,941.8
singlecenter-74-n50,50,singlecenter,2,907.3788,590.3992000000001,-316.9796,65.0665%,4182.4,1547.8,60.00626,22.532292,2634.6,643.6
singlecenter-74-n50,50,singlecenter,3,907.3788,505.48100000000005,-401.8978,55.7078%,4554.8,1964.2,60.00568,26.082753999999994,2590.6,1015.2

singlecenter-79-n50,50,singlecenter,1,784.5670,637.9689999999999,-146.5980,81.3148%,2754.6,1190.2,60.00866,26.089619999999996,1564.4,655.6
singlecenter-79-n50,50,singlecenter,2,783.7864,475.4832,-308.3032,60.6649%,4099.8,1605.6,60.005779999999994,24.07206,2494.2,1107.2
singlecenter-79-n50,50,singlecenter,3,784.7214,412.6686000000001,-372.0528,52.5879%,4523.6,3338.8,60.00856,44.47606,1184.8,2217.8

singlecenter-72-n50,50,singlecenter,1,808.8108,697.0686,-111.7422,86.1844%,2910.0,1467.4,60.01505999999999,30.00612,1442.6,568.2
singlecenter-72-n50,50,singlecenter,2,808.8108,573.8838,-234.9270,70.9540%,4247.4,2194.2,60.0071,31.001222000000002,2053.2,1486.0
singlecenter-72-n50,50,singlecenter,3,808.8108,487.08859999999993,-321.7222,60.2228%,4602.0,2564.6,60.0081,33.605599999999995,2037.4,1284.0

singlecenter-73-n50,50,singlecenter,1,613.7297,508.5562,-105.1735,82.8632%,2862.0,1270.6,60.01090000000001,27.031906,1591.4,797.0
singlecenter-73-n50,50,singlecenter,2,613.0666,396.4788,-216.5878,64.6714%,4130.2,1367.8,60.004560000000005,19.928008,2762.4,875.2
singlecenter-73-n50,50,singlecenter,3,613.0666,340.8056,-272.2610,55.5903%,4589.0,3782.6,60.00730000000001,49.7607,806.4,1777.4

singlecenter-76-n50,50,singlecenter,1,887.7689,779.0968,-108.6721,87.7590%,2836.0,1204.0,60.01168,26.127936,1632.0,501.6
singlecenter-76-n50,50,singlecenter,2,887.7689,597.1518,-290.6171,67.2643%,4241.8,1876.2,60.007339999999985,26.905520000000003,2365.6,869.8
singlecenter-76-n50,50,singlecenter,3,887.7689,547.6466,-340.1223,61.6880%,4632.2,2271.6,60.00708000000001,29.543179999999996,2360.6,964.6

singlecenter-78-n50,50,singlecenter,1,914.1449,767.5555999999999,-146.5893,83.9643%,2837.2,1081.6,60.01387999999999,22.89542,1755.6,424.0
singlecenter-78-n50,50,singlecenter,2,914.1449,610.063,-304.0819,66.7359%,4047.6,3131.8,60.00914,46.675239999999995,915.8,1842.2
singlecenter-78-n50,50,singlecenter,3,913.0962,509.0413999999999,-404.0548,55.7489%,4568.4,1271.2,60.007099999999994,17.115370000000002,3297.2,469.4

singlecenter-71-n50,50,singlecenter,1,698.7981,609.0674,-89.7307,87.1593%,2927.6,1060.0,60.01238000000001,21.875273999999997,1867.6,597.4
singlecenter-71-n50,50,singlecenter,2,700.1293,470.6794,-229.4499,67.2275%,4277.4,2379.6,60.01214,33.80454,1897.8,1340.8
singlecenter-71-n50,50,singlecenter,3,700.1293,431.259,-268.8703,61.5971%,4575.8,2493.8,60.010400000000004,32.778980000000004,2082.0,1078.8

singlecenter-80-n50,50,singlecenter,1,970.5504,771.5487999999999,-199.0016,79.4960%,2804.4,1307.4,60.01002,28.69714,1497.0,900.2
singlecenter-80-n50,50,singlecenter,2,970.5504,602.8284000000001,-367.7220,62.1120%,4162.8,1707.2,60.00364,25.027858,2455.6,815.2
singlecenter-80-n50,50,singlecenter,3,970.5504,519.2612,-451.2892,53.5017%,4454.4,1928.0,60.00906,25.492418,2526.4,815.6

singlecenter-77-n50,50,singlecenter,1,780.6628,598.3092,-182.3536,76.6412%,2727.0,1304.2,60.01386,29.5791,1422.8,656.8
singlecenter-77-n50,50,singlecenter,2,780.2030,472.52400000000006,-307.6790,60.5642%,4017.4,2647.6,60.00958000000001,39.941140000000004,1369.8,1562.0
singlecenter-77-n50,50,singlecenter,3,780.6628,413.0062,-367.6566,52.9046%,4443.0,1989.8,60.0071,26.902085999999997,2453.2,871.4

singlecenter-94-n100,100,singlecenter,1,1535.5012,1503.046,-32.4552,97.8863%,1147.0,1091.6,60.03060000000001,57.01138000000001,55.4,97.6
singlecenter-94-n100,100,singlecenter,2,1534.6651,1161.092,-373.5731,75.6577%,1917.0,1818.6,60.00496,56.79200000000001,98.4,253.8
singlecenter-94-n100,100,singlecenter,3,1534.6651,1079.984,-454.6811,70.3726%,2118.6,1990.4,60.00952000000001,56.447,128.2,350.6

singlecenter-95-n100,100,singlecenter,1,1241.4234,1223.21,-18.2134,98.5329%,1222.4,1119.0,60.03241999999999,54.89224,103.4,93.6
singlecenter-95-n100,100,singlecenter,2,1241.4234,979.0908,-262.3326,78.8684%,1946.0,1620.2,60.0138,49.8184,325.8,181.4
singlecenter-95-n100,100,singlecenter,3,1241.4234,810.4752,-430.9482,65.2860%,2194.4,1982.4,60.01726,54.31248000000001,212.0,361.2

singlecenter-100-n100,100,singlecenter,1,1212.5556,1169.532,-43.0236,96.4518%,1175.2,1152.6,60.01714,58.91666,22.6,110.8
singlecenter-100-n100,100,singlecenter,2,1213.5192,953.6136,-259.9056,78.5825%,1901.2,1770.2,60.0111,55.86487999999999,131.0,303.2
singlecenter-100-n100,100,singlecenter,3,1214.0485,850.1186,-363.9299,70.0234%,2173.4,1829.0,60.01582,50.3759,344.4,206.8

singlecenter-93-n100,100,singlecenter,1,1353.6241,1263.1,-90.5241,93.3125%,1121.2,1046.4,60.045759999999994,55.87936,74.8,64.6
singlecenter-93-n100,100,singlecenter,2,1355.0541,1060.4624,-294.5917,78.2598%,1867.8,1571.0,60.014660000000006,50.38702000000001,296.8,330.2
singlecenter-93-n100,100,singlecenter,3,1353.0591,965.6222,-387.4369,71.3659%,2095.4,1872.4,60.00888,53.71656,223.0,450.8

singlecenter-99-n100,100,singlecenter,1,1105.5729,1023.5093999999999,-82.0635,92.5773%,1145.0,1115.8,60.02344000000001,58.44706000000001,29.2,77.4
singlecenter-99-n100,100,singlecenter,2,1105.6402,848.4078,-257.2324,76.7345%,1825.0,1761.4,60.0142,57.944320000000005,63.6,166.0
singlecenter-99-n100,100,singlecenter,3,1105.7434,722.9232,-382.8202,65.3789%,2102.2,2003.4,60.01624,57.1998,98.8,189.8

singlecenter-98-n100,100,singlecenter,1,1434.6389,1313.69,-120.9489,91.5694%,1107.6,1042.8,60.01336,56.435739999999996,64.8,203.2
singlecenter-98-n100,100,singlecenter,2,1435.0127,958.5440000000001,-476.4687,66.7969%,1843.8,1712.6,60.01976,55.73456,131.2,193.0
singlecenter-98-n100,100,singlecenter,3,1435.0127,871.5415999999999,-563.4711,60.7341%,2173.2,1972.8,60.017100000000006,54.703779999999995,200.4,337.4

singlecenter-97-n100,100,singlecenter,1,1395.5002,1380.416,-15.0842,98.9191%,1099.0,1033.0,60.02568,56.25984,66.0,55.8
singlecenter-97-n100,100,singlecenter,2,1393.7724,1043.3650000000002,-350.4074,74.8591%,1838.0,1773.0,60.0141,57.70182,65.0,161.8
singlecenter-97-n100,100,singlecenter,3,1394.2967,940.2938,-454.0029,67.4386%,2077.8,1964.6,60.01754,56.7179,113.2,316.6

singlecenter-96-n100,100,singlecenter,1,1374.7160,1339.7,-35.0160,97.4529%,1165.0,1125.4,60.0245,57.90056,39.6,120.4
singlecenter-96-n100,100,singlecenter,2,1376.0372,1041.5715999999998,-334.4656,75.6936%,1939.2,1621.6,60.0121,50.4413,317.6,198.6
singlecenter-96-n100,100,singlecenter,3,1376.0372,935.5436,-440.4936,67.9882%,2196.2,1976.6,60.01198000000001,54.04112,219.6,342.6

singlecenter-92-n100,100,singlecenter,1,1409.1514,1349.708,-59.4434,95.7816%,1172.6,1126.6,60.02475999999999,57.65463999999999,46.0,108.2
singlecenter-92-n100,100,singlecenter,2,1409.9092,1097.2,-312.7092,77.8206%,1900.0,1662.2,60.016740000000006,52.46418000000001,237.8,237.4
singlecenter-92-n100,100,singlecenter,3,1410.4859,977.4680000000001,-433.0179,69.3001%,2201.8,2122.4,60.01333999999999,57.90867999999999,79.4,176.4

singlecenter-91-n100,100,singlecenter,1,1301.4405,1286.422,-15.0185,98.8460%,1118.4,1063.6,60.015139999999995,57.079499999999996,54.8,79.4
singlecenter-91-n100,100,singlecenter,2,1301.8049,1020.6922000000001,-281.1127,78.4059%,1843.0,1747.8,60.015319999999996,56.84648,95.2,247.6
singlecenter-91-n100,100,singlecenter,3,1301.3420,914.9005999999999,-386.4414,70.3044%,2128.2,1950.4,60.02078,54.98892000000001,177.8,338.2

doublecenter-76-n50,50,doublecenter,1,1394.8919,1135.728,-259.1639,81.4205%,2836.8,1775.8,60.01351999999999,37.952420000000004,1061.0,776.0
doublecenter-76-n50,50,doublecenter,2,1394.8919,863.0414000000001,-531.8505,61.8716%,4240.0,1285.0,60.00766,18.822043999999998,2955.0,666.6
doublecenter-76-n50,50,doublecenter,3,1395.7348,772.7508,-622.9840,55.3652%,4648.6,2844.8,60.006719999999994,36.756452,1803.8,1394.6

doublecenter-78-n50,50,doublecenter,1,1337.6684,1024.4764,-313.1920,76.5867%,2883.0,1408.0,60.0061,29.303312,1475.0,744.2
doublecenter-78-n50,50,doublecenter,2,1338.5256,773.5064,-565.0192,57.7879%,4189.4,2077.4,60.00732000000001,30.111919999999998,2112.0,1417.8
doublecenter-78-n50,50,doublecenter,3,1338.5256,693.2728000000001,-645.2528,51.7938%,4531.4,1828.2,60.00750000000001,24.475141999999998,2703.2,975.2

doublecenter-71-n50,50,doublecenter,1,1432.8152,1116.426,-316.3892,77.9184%,2802.6,728.6,60.008320000000005,15.94501,2074.0,229.0
doublecenter-71-n50,50,doublecenter,2,1432.8152,868.9394,-563.8758,60.6456%,4207.4,1017.6,60.009640000000005,14.943496,3189.8,338.6
doublecenter-71-n50,50,doublecenter,3,1432.8152,782.3136,-650.5016,54.5998%,4420.6,2246.0,60.00676000000001,30.30578,2174.6,869.2

doublecenter-79-n50,50,doublecenter,1,1213.9633,1011.9512000000001,-202.0121,83.3593%,2850.2,1090.6,60.014619999999994,23.521844,1759.6,297.2
doublecenter-79-n50,50,doublecenter,2,1213.9633,845.5451999999999,-368.4181,69.6516%,4191.6,1191.2,60.00734,17.27326,3000.4,515.0
doublecenter-79-n50,50,doublecenter,3,1213.9633,762.4334000000001,-451.5299,62.8053%,4538.4,2590.4,60.006280000000004,34.343219999999995,1948.0,1387.2

doublecenter-80-n50,50,doublecenter,1,1357.2268,1168.604,-188.6228,86.1023%,2935.4,1789.2,60.010400000000004,36.354636000000006,1146.2,1063.8
doublecenter-80-n50,50,doublecenter,2,1356.4220,905.3636,-451.0584,66.7465%,4287.2,2264.4,60.00644,31.86356,2022.8,1402.2
doublecenter-80-n50,50,doublecenter,3,1356.4220,823.21,-533.2120,60.6898%,4612.6,1993.8,60.00362,26.340674,2618.8,1012.0

doublecenter-75-n50,50,doublecenter,1,1275.6408,1157.31,-118.3308,90.7238%,2973.0,1843.4,60.00822000000001,37.105579999999996,1129.6,1055.0
doublecenter-75-n50,50,doublecenter,2,1275.2774,928.3924,-346.8850,72.7993%,4193.0,3089.8,60.00926,44.425384,1103.2,2257.0
doublecenter-75-n50,50,doublecenter,3,1275.6408,786.1548,-489.4860,61.6282%,4551.0,2077.0,60.00694,27.402843999999998,2474.0,1296.4

doublecenter-73-n50,50,doublecenter,1,1181.4374,944.798,-236.6394,79.9702%,2855.8,1281.0,60.0132,27.200266,1574.8,576.0
doublecenter-73-n50,50,doublecenter,2,1181.4374,753.55,-427.8874,63.7825%,4137.4,648.2,60.00514,9.785102,3489.2,228.6
doublecenter-73-n50,50,doublecenter,3,1181.4374,696.297,-485.1404,58.9364%,4485.6,2213.0,60.004279999999994,30.21478,2272.6,1071.8

doublecenter-77-n50,50,doublecenter,1,1185.9843,1023.9433999999999,-162.0409,86.3370%,2867.6,740.8,60.00598,15.929604000000001,2126.8,373.0
doublecenter-77-n50,50,doublecenter,2,1185.7461,803.0742,-382.6719,67.7273%,4130.2,1891.6,60.00728,27.843247999999996,2238.6,835.2
doublecenter-77-n50,50,doublecenter,3,1185.1981,698.9918,-486.2063,58.9768%,4502.4,2880.6,60.00452,38.76086,1621.8,1989.0

doublecenter-74-n50,50,doublecenter,1,1136.5626,984.9638000000001,-151.5988,86.6616%,2923.4,1745.0,60.009040000000006,35.752159999999996,1178.4,864.4
doublecenter-74-n50,50,doublecenter,2,1136.5626,757.8006,-378.7620,66.6748%,4101.0,2473.6,60.00382,36.082556,1627.4,1656.0
doublecenter-74-n50,50,doublecenter,3,1136.5626,679.3846000000001,-457.1780,59.7754%,4492.2,2029.8,60.00634,27.487208,2462.4,1221.6

doublecenter-72-n50,50,doublecenter,1,1257.9752,1052.312,-205.6632,83.6512%,2915.4,537.2,60.01082,11.2587,2378.2,205.2
doublecenter-72-n50,50,doublecenter,2,1258.3123,832.9412,-425.3711,66.1951%,4272.2,1118.6,60.003499999999995,16.03697,3153.6,529.0
doublecenter-72-n50,50,doublecenter,3,1257.9752,711.0959999999999,-546.8792,56.5270%,4524.2,2117.2,60.0068,28.056639999999998,2407.0,1422.6

doublecenter-96-n100,100,doublecenter,1,1840.9105,2088.416,247.5055,113.4447%,1175.0,1104.6,60.023360000000004,56.22858,70.4,76.8
doublecenter-96-n100,100,doublecenter,2,1840.0284,1465.654,-374.3744,79.6539%,1914.2,1874.2,60.01297999999999,58.82038,40.0,325.2
doublecenter-96-n100,100,doublecenter,3,1840.9105,1277.81,-563.1005,69.4118%,2143.8,1847.2,60.01650000000001,51.85492000000001,296.6,304.0

doublecenter-95-n100,100,doublecenter,1,1856.3006,2059.3599999999997,203.0594,110.9389%,1164.0,1132.8,60.01966,58.41704,31.2,87.0
doublecenter-95-n100,100,doublecenter,2,1854.5623,1522.308,-332.2543,82.0845%,1886.8,1695.8,60.01898000000001,54.06358,191.0,217.6
doublecenter-95-n100,100,doublecenter,3,1855.0519,1270.24,-584.8119,68.4746%,2132.0,1994.6,60.02388,56.21360000000001,137.4,327.2

doublecenter-92-n100,100,doublecenter,1,1692.6515,1791.196,98.5445,105.8219%,1130.6,1105.6,60.03112,58.57056,25.0,102.2
doublecenter-92-n100,100,doublecenter,2,1693.2518,1285.4180000000001,-407.8338,75.9142%,1849.0,1719.0,60.01432,55.60728,130.0,212.0
doublecenter-92-n100,100,doublecenter,3,1692.6515,1196.532,-496.1195,70.6898%,2073.6,1949.0,60.017399999999995,56.064080000000004,124.6,362.2

