instance_name,num_nodes,instance_type,alpha,total_runtime,optimal_tsp_solution,optimal_tsp_split,lkh_cost,lkh_split,best_solution_name,best_solution_cost,opt_to_best_dist,opt_to_best_percent,optsplit_to_best_dist,optsplit_to_best_percent
singlecenter-86-n75,75,singlecenter,2,0.0316,1207.58,910.426,1211.5300,932.5500,TSP_OPT_BED_ORIG_0.75,845.335,-362.2450,70.0024%,-65.0910,92.8505%
singlecenter-87-n75,75,singlecenter,2,1.2758,1118.94,852.6,1121.1100,845.1140,TSP_OPT_BER_ORIG_0.75,819.508,-299.4320,73.2397%,-33.0920,96.1187%
singlecenter-88-n75,75,singlecenter,2,0.1644,1208.5,868.37,1227.7400,767.2700,LKH_SOL,767.27,-441.2300,63.4894%,-101.1000,88.3575%
singlecenter-89-n75,75,singlecenter,2,0.0660,1026.08,775.686,1026.0800,775.6860,TSP_OPT,775.686,-250.3940,75.5970%,0.0000,100.0000%
singlecenter-90-n75,75,singlecenter,2,0.2541,1216.31,879.089,1221.1100,866.3190,LKH_SOL_BED_INV_0.75,851.961,-364.3490,70.0447%,-27.1280,96.9141%
doublecenter-81-n75,75,doublecenter,2,0.0420,1409.64,1056.08,1418.3200,1043.7100,LKH_SOL_BED_ORIG_0.75,1038.53,-371.1100,73.6734%,-17.5500,98.3382%
doublecenter-82-n75,75,doublecenter,2,0.0421,1506.07,1148.8,1510.8500,1152.5400,TSP_OPT_BED_ORIG_0.75,1059.1,-446.9700,70.3221%,-89.7000,92.1919%
doublecenter-83-n75,75,doublecenter,2,0.0719,1480.84,1001.29,1500.8800,991.2900,LKH_SOL,991.29,-489.5500,66.9411%,-10.0000,99.0013%
doublecenter-84-n75,75,doublecenter,2,0.3535,1812.42,1386.14,1831.8200,1351.8100,LKH_SOL,1351.81,-460.6100,74.5859%,-34.3300,97.5233%
doublecenter-85-n75,75,doublecenter,2,0.1370,1887.41,1227.95,1900.7400,1276.6500,TSP_OPT_BED_INV_0.75,1223.13,-664.2800,64.8047%,-4.8200,99.6075%
doublecenter-86-n75,75,doublecenter,2,0.0970,1455.14,1011.59,1455.1400,1011.5900,TSP_OPT,1011.59,-443.5500,69.5184%,0.0000,100.0000%
doublecenter-87-n75,75,doublecenter,2,0.0488,1501.97,1114.36,1501.9700,1114.3600,TSP_OPT,1114.36,-387.6100,74.1932%,0.0000,100.0000%
doublecenter-88-n75,75,doublecenter,2,0.1279,1832.22,1241.79,1834.8300,1261.2200,TSP_OPT,1241.79,-590.4300,67.7752%,0.0000,100.0000%
