instance_name,num_nodes,instance_type,alpha,total_runtime,optimal_tsp_solution,optimal_tsp_split,lkh_cost,lkh_split,best_solution_name,best_solution_cost,opt_to_best_dist,opt_to_best_percent,optsplit_to_best_dist,optsplit_to_best_percent
singlecenter-94-n100,100,singlecenter,2,0.1099,1534.67,1125.64,1544.5300,1113.4300,LKH_SOL_BER_ORIG_0.75,1111.19,-423.4800,72.4058%,-14.4500,98.7163%
singlecenter-95-n100,100,singlecenter,2,0.1640,1241.42,830.581,1250.4800,845.6730,TSP_OPT,830.581,-410.8390,66.9057%,0.0000,100.0000%
singlecenter-96-n100,100,singlecenter,2,0.0590,1372.88,976.372,1384.4800,1007.4900,TSP_OPT_BER_INV_0.75,969.3,-403.5800,70.6034%,-7.0720,99.2757%
singlecenter-97-n100,100,singlecenter,2,0.1282,1393.13,993.763,1404.6200,1003.3700,TSP_OPT_BED_ORIG_0.75,969.968,-423.1620,69.6251%,-23.7950,97.6056%
singlecenter-98-n100,100,singlecenter,2,0.0526,1434.1,942.459,1451.9300,985.6320,TSP_OPT_BED_ORIG_0.75,913.563,-520.5370,63.7029%,-28.8960,96.9340%
singlecenter-99-n100,100,singlecenter,2,0.9899,1104.64,780.944,1122.7200,756.2420,LKH_SOL_BED_INV_0.75,745.099,-359.5410,67.4517%,-35.8450,95.4100%
singlecenter-100-n100,100,singlecenter,2,0.0800,1212.51,872.759,1218.5800,874.4560,TSP_OPT,872.759,-339.7510,71.9795%,0.0000,100.0000%
doublecenter-91-n100,100,doublecenter,2,0.1880,1724.27,1264.51,1739.2400,1351.3200,TSP_OPT,1264.51,-459.7600,73.3360%,0.0000,100.0000%
doublecenter-92-n100,100,doublecenter,2,0.1385,1692.2,1241.89,1716.2800,1247.9200,TSP_OPT_BED_ORIG_0.75,1215.63,-476.5700,71.8373%,-26.2600,97.8855%
doublecenter-93-n100,100,doublecenter,2,0.0487,1574.12,1138.03,1590.5600,1130.9100,LKH_SOL_BED_ORIG_0.75,1124.69,-449.4300,71.4488%,-13.3400,98.8278%
doublecenter-94-n100,100,doublecenter,2,0.1605,1756.83,1305.46,1756.8300,1305.4600,TSP_OPT_BED_INV_1.25,1293.37,-463.4600,73.6195%,-12.0900,99.0739%
doublecenter-95-n100,100,doublecenter,2,0.0815,1854.25,1263.17,1883.5200,1285.3600,TSP_OPT,1263.17,-591.0800,68.1230%,0.0000,100.0000%
doublecenter-96-n100,100,doublecenter,2,0.0885,1840.03,1374.08,1877.2300,1429.4800,TSP_OPT_BED_INV_0.75,1371.41,-468.6200,74.5319%,-2.6700,99.8057%
doublecenter-97-n100,100,doublecenter,2,0.1279,1953.61,1410.05,1965.8200,1413.5700,TSP_OPT,1410.05,-543.5600,72.1766%,0.0000,100.0000%
doublecenter-98-n100,100,doublecenter,2,0.1590,1702.52,1297.01,1712.3400,1297.3000,TSP_OPT_BED_INV_0.75,1270.55,-431.9700,74.6276%,-26.4600,97.9599%
doublecenter-99-n100,100,doublecenter,2,0.1021,1693.45,1151.01,1724.7000,1216.0200,TSP_OPT_BED_ORIG_0.75,1125.98,-567.4700,66.4903%,-25.0300,97.8254%
doublecenter-100-n100,100,doublecenter,2,0.1337,1884.64,1285.55,1913.1900,1294.9900,TSP_OPT,1285.55,-599.0900,68.2120%,0.0000,100.0000%
uniform-alpha_3-91-n100,100,uniform,3,0.1391,803.699,645.256,822.4480,635.6340,TSP_OPT_BED_ORIG_0.75,625.859,-177.8400,77.8723%,-19.3970,96.9939%
uniform-alpha_3-92-n100,100,uniform,3,0.0812,747.799,562.183,754.2480,569.4060,TSP_OPT_BED_INV_0.50,554.45,-193.3490,74.1443%,-7.7330,98.6245%
uniform-alpha_3-93-n100,100,uniform,3,0.0398,766.227,563.849,769.1420,580.5780,TSP_OPT_BED_INV_0.75,558.24,-207.9870,72.8557%,-5.6090,99.0052%
uniform-alpha_3-94-n100,100,uniform,3,0.0894,768.793,612.381,771.0990,614.3190,TSP_OPT_BED_ORIG_1.75,603.928,-164.8650,78.5553%,-8.4530,98.6197%
uniform-alpha_3-95-n100,100,uniform,3,0.1075,787.164,608.837,796.4380,631.5270,TSP_OPT_BER_INV_1.00,602.944,-184.2200,76.5970%,-5.8930,99.0321%
uniform-alpha_3-96-n100,100,uniform,3,0.0513,791.431,610.709,796.7610,636.8610,TSP_OPT,610.709,-180.7220,77.1652%,0.0000,100.0000%
uniform-alpha_3-97-n100,100,uniform,3,0.2476,798.314,646.361,809.5810,640.6760,LKH_SOL_BED_INV_1.50,632.728,-165.5860,79.2580%,-13.6330,97.8908%
uniform-alpha_3-98-n100,100,uniform,3,0.0947,778.256,554.9,786.8210,590.3850,TSP_OPT_BED_INV_0.50,551.87,-226.3860,70.9111%,-3.0300,99.4540%
uniform-alpha_3-99-n100,100,uniform,3,0.1473,795.863,627.687,795.8630,627.6870,TSP_OPT_BED_INV_0.50,618.811,-177.0520,77.7535%,-8.8760,98.5859%
uniform-alpha_3-100-n100,100,uniform,3,0.1408,793.399,642.208,793.7330,641.4600,LKH_SOL_BED_INV_0.50,634.918,-158.4810,80.0251%,-7.2900,98.8649%
singlecenter-alpha_3-91-n100,100,singlecenter,3,0.0939,1300.54,898.187,1300.9800,895.8830,LKH_SOL,895.883,-404.6570,68.8855%,-2.3040,99.7435%
singlecenter-alpha_3-92-n100,100,singlecenter,3,0.0978,1408.9,1019.69,1429.2000,1036.8000,TSP_OPT_BED_INV_0.50,957.772,-451.1280,67.9801%,-61.9180,93.9278%
singlecenter-alpha_3-93-n100,100,singlecenter,3,0.1941,1353.06,1023.06,1372.5700,1012.1600,LKH_SOL_BED_ORIG_0.75,995.206,-357.8540,73.5522%,-27.8540,97.2774%
singlecenter-alpha_3-94-n100,100,singlecenter,3,0.0964,1534.67,1119.77,1544.5300,1107.5600,LKH_SOL_BED_INV_1.25,1097.2,-437.4700,71.4942%,-22.5700,97.9844%
singlecenter-alpha_3-95-n100,100,singlecenter,3,0.2209,1241.42,826.535,1250.4800,841.3540,TSP_OPT,826.535,-414.8850,66.5798%,0.0000,100.0000%
singlecenter-alpha_3-96-n100,100,singlecenter,3,0.0759,1372.88,957.136,1384.4800,998.5260,TSP_OPT_BER_INV_0.50,956.121,-416.7590,69.6435%,-1.0150,99.8940%
singlecenter-alpha_3-97-n100,100,singlecenter,3,0.1338,1393.13,992.574,1404.6200,1002.6600,TSP_OPT_BED_ORIG_0.75,918.735,-474.3950,65.9475%,-73.8390,92.5609%
singlecenter-alpha_3-98-n100,100,singlecenter,3,0.0424,1434.1,932.9,1451.9300,973.3180,TSP_OPT_BED_INV_0.50,891.074,-543.0260,62.1347%,-41.8260,95.5166%
singlecenter-alpha_3-99-n100,100,singlecenter,3,0.8631,1104.64,779.023,1122.7200,753.2410,TSP_OPT_BER_ORIG_0.50,722.366,-382.2740,65.3938%,-56.6570,92.7272%
singlecenter-alpha_3-100-n100,100,singlecenter,3,0.0665,1212.51,870.074,1218.5800,871.9540,LKH_SOL_BED_ORIG_0.75,868.18,-344.3300,71.6019%,-1.8940,99.7823%
doublecenter-alpha_3-91-n100,100,doublecenter,3,0.1531,1724.27,1249.91,1739.2400,1348.6200,TSP_OPT_BED_INV_1.25,1218.1,-506.1700,70.6444%,-31.8100,97.4550%
doublecenter-alpha_3-92-n100,100,doublecenter,3,0.2589,1692.2,1236.68,1716.2800,1239.2200,LKH_SOL_BED_INV_1.00,1171.7,-520.5000,69.2412%,-64.9800,94.7456%
doublecenter-alpha_3-93-n100,100,doublecenter,3,0.0442,1574.12,1128.76,1590.5600,1120.0300,LKH_SOL_BED_ORIG_0.50,1099.91,-474.2100,69.8746%,-28.8500,97.4441%
doublecenter-alpha_3-94-n100,100,doublecenter,3,0.1379,1756.83,1295.77,1756.8300,1295.7700,TSP_OPT_BED_ORIG_2.00,1234.7,-522.1300,70.2800%,-61.0700,95.2870%
doublecenter-alpha_3-95-n100,100,doublecenter,3,0.0926,1854.25,1234.55,1883.5200,1259.6900,TSP_OPT,1234.55,-619.7000,66.5795%,0.0000,100.0000%
doublecenter-alpha_3-96-n100,100,doublecenter,3,0.0927,1840.03,1373.48,1877.2300,1429.1500,TSP_OPT_BED_INV_0.50,1356.22,-483.8100,73.7064%,-17.2600,98.7433%
doublecenter-alpha_3-97-n100,100,doublecenter,3,0.1226,1953.61,1393.44,1965.8200,1400.6600,TSP_OPT,1393.44,-560.1700,71.3264%,0.0000,100.0000%
doublecenter-alpha_3-98-n100,100,doublecenter,3,0.1425,1702.52,1292.41,1712.3400,1296.5200,TSP_OPT_BED_ORIG_0.75,1258.81,-443.7100,73.9380%,-33.6000,97.4002%
doublecenter-alpha_3-99-n100,100,doublecenter,3,0.0884,1693.45,1138.36,1724.7000,1198.6100,TSP_OPT_BED_ORIG_0.50,1108.99,-584.4600,65.4870%,-29.3700,97.4200%
doublecenter-alpha_3-100-n100,100,doublecenter,3,0.1282,1884.64,1266.82,1913.1900,1273.9500,TSP_OPT_BED_ORIG_1.00,1236.53,-648.1100,65.6109%,-30.2900,97.6090%
