Instance Name, Truck Speed, Drone Speed, Number of Nodes, TSP Sol Cost, Arcs in Gaux, Triples, Gaux Ini Time, Gaux Building Time, Shortest Path Time, FSTSP Sol Cost, Average Time (ns)
doublecenter-alpha_3-57-n10.txt, 1, 0.333333, 10, 881.533, 110, 165, 7687, 59995, 1785, 553.608, 87738
doublecenter-alpha_3-41-n9.txt, 1, 0.333333, 9, 895.082, 90, 120, 5303, 44098, 1602, 698.553, 68597
doublecenter-alpha_1-67-n20.txt, 1, 1, 20, 1035.39, 420, 1330, 14588, 517857, 4536, 696.201, 555975
doublecenter-96-n100.txt, 1, 0.5, 100, 2164.34, 10100, 166650, 312131, 6.10597e+07, 110764, 1640.88, 6.15204e+07
doublecenter-99-n100.txt, 1, 0.5, 100, 2277.94, 10100, 166650, 183596, 6.06389e+07, 100549, 1631.63, 6.09633e+07
doublecenter-alpha_3-55-n10.txt, 1, 0.333333, 10, 1116.92, 110, 165, 7838, 60989, 1733, 753.435, 88853
doublecenter-alpha_3-97-n100.txt, 1, 0.333333, 100, 2474.02, 10100, 166650, 182853, 6.11915e+07, 103311, 1856.32, 6.15224e+07
doublecenter-alpha_1-18-n375.txt, 1, 1, 375, 4492.14, 141000, 8789000, 2.40997e+06, 3.19203e+09, 1.60403e+06, 3423.37, 3.19631e+09
doublecenter-alpha_1-19-n6.txt, 1, 1, 6, 549.192, 42, 35, 3980, 14705, 963, 498.901, 37847
doublecenter-alpha_3-35-n8.txt, 1, 0.333333, 8, 620.696, 72, 84, 4972, 32390, 1380, 545.651, 56693
doublecenter-alpha_3-114-n250.txt, 1, 0.333333, 250, 3032.93, 62750, 2604125, 1.08296e+06, 9.63744e+08, 640073, 2354.76, 9.65533e+08
doublecenter-alpha_1-19-n375.txt, 1, 1, 375, 4591.72, 141000, 8789000, 2.43366e+06, 3.20374e+09, 1.6495e+06, 3854.42, 3.20799e+09
doublecenter-alpha_1-10-n500.txt, 1, 1, 500, 5675.29, 250500, 20833250, 4.22447e+06, 7.63769e+09, 2.77018e+06, 4745.99, 7.64498e+09
doublecenter-4-n5.txt, 1, 0.5, 5, 476.218, 30, 20, 3136, 8448, 963, 398.496, 29732
doublecenter-alpha_3-18-n375.txt, 1, 0.333333, 375, 4492.14, 141000, 8789000, 2.19636e+06, 3.26235e+09, 1.49746e+06, 2969.36, 3.26621e+09
doublecenter-34-n8.txt, 1, 0.5, 8, 1052.97, 72, 84, 4969, 32884, 1332, 625.689, 56952
doublecenter-alpha_3-84-n75.txt, 1, 0.333333, 75, 2109.01, 5700, 70300, 110374, 2.57098e+07, 57452, 1630.06, 2.59142e+07
