Instance Name, Truck Speed, Drone Speed, Number of Nodes, TSP Sol Cost, Arcs in Gaux, Triples, Gaux Ini Time, Gaux Building Time, Shortest Path Time, FSTSP Sol Cost, Average Time (ns)
doublecenter-alpha_3-57-n10.txt, 1, 0.333333, 10, 881.533, 19, 9, 709, 13744, 2811, 553.608, 35929
doublecenter-alpha_3-41-n9.txt, 1, 0.333333, 9, 895.082, 17, 8, 736, 12855, 2603, 698.553, 35167
doublecenter-alpha_1-67-n20.txt, 1, 1, 20, 1035.39, 104, 110, 882, 77685, 10907, 696.201, 112617
doublecenter-96-n100.txt, 1, 0.5, 100, 2164.34, 209, 109, 4204, 138846, 23479, 1640.88, 196838
doublecenter-99-n100.txt, 1, 0.5, 100, 2277.94, 208, 108, 4402, 139800, 23650, 1631.63, 197932
doublecenter-alpha_3-55-n10.txt, 1, 0.333333, 10, 1116.92, 19, 9, 691, 13918, 2903, 753.435, 36398
doublecenter-alpha_3-97-n100.txt, 1, 0.333333, 100, 2474.02, 199, 99, 4051, 132438, 22998, 1856.32, 190158
doublecenter-alpha_1-18-n375.txt, 1, 1, 375, 4492.14, 2315, 2499, 9639, 1.66198e+06, 268440, 3423.37, 2.14357e+06
doublecenter-alpha_1-19-n6.txt, 1, 1, 6, 549.192, 21, 21, 757, 17219, 2816, 498.901, 39605
doublecenter-alpha_3-35-n8.txt, 1, 0.333333, 8, 620.696, 15, 7, 880, 11581, 2231, 545.651, 32996
doublecenter-alpha_3-114-n250.txt, 1, 0.333333, 250, 3032.93, 499, 249, 6700, 324414, 60782, 2354.76, 439468
doublecenter-alpha_1-19-n375.txt, 1, 1, 375, 4591.72, 2206, 2388, 9248, 1.6913e+06, 252833, 3854.42, 2.07649e+06
doublecenter-alpha_1-10-n500.txt, 1, 1, 500, 5675.29, 3109, 3360, 15028, 2.34172e+06, 379152, 4745.99, 2.89724e+06
doublecenter-4-n5.txt, 1, 0.5, 5, 476.218, 9, 4, 613, 7298, 1854, 398.496, 41102
doublecenter-alpha_3-18-n375.txt, 1, 0.333333, 375, 4492.14, 750, 375, 9520, 558033, 110204, 2969.36, 740128
doublecenter-34-n8.txt, 1, 0.5, 8, 1052.97, 15, 7, 988, 11278, 2339, 625.689, 33400
doublecenter-alpha_3-84-n75.txt, 1, 0.333333, 75, 2109.01, 149, 74, 3814, 101750, 15819, 1630.06, 147988
doublecenter-alpha_1-16-n6.txt, 1, 1, 6, 592.712, 20, 20, 665, 16213, 2713, 491.084, 38148
doublecenter-36-n8.txt, 1, 0.5, 8, 749.87, 15, 7, 892, 11592, 2194, 552.764, 33253
doublecenter-57-n10.txt, 1, 0.5, 10, 881.533, 19, 9, 687, 13784, 2840, 553.608, 36154
doublecenter-14-n375.txt, 1, 0.5, 375, 4837.91, 793, 420, 9371, 528648, 150493, 3381.66, 762960
doublecenter-alpha_1-102-n175.txt, 1, 1, 175, 3111.13, 1141, 1231, 6549, 841782, 110824, 2438.52, 1.04328e+06
doublecenter-alpha_3-17-n375.txt, 1, 0.333333, 375, 4493.01, 751, 376, 9377, 575490, 84186, 3197.57, 733353
doublecenter-26-n7.txt, 1, 0.5, 7, 536.169, 13, 6, 648, 9173, 2186, 454.826, 30183
doublecenter-alpha_1-35-n8.txt, 1, 1, 8, 620.696, 33, 34, 1540, 86702, 22291, 575.436, 171591
doublecenter-alpha_3-80-n50.txt, 1, 0.333333, 50, 1816.35, 99, 49, 5080, 103449, 15863, 1152.3, 157768
doublecenter-alpha_1-20-n375.txt, 1, 1, 375, 4244.21, 2264, 2446, 9962, 1.6828e+06, 273695, 3467.04, 2.09563e+06
doublecenter-alpha_1-76-n50.txt, 1, 1, 50, 1917.5, 350, 375, 3446, 261674, 36379, 1466.71, 338124
doublecenter-alpha_3-7-n500.txt, 1, 0.333333, 500, 5118.21, 999, 499, 15466, 857623, 123293, 4004.71, 1.08088e+06
doublecenter-alpha_1-59-n10.txt, 1, 1, 10, 862.905, 38, 39, 783, 33449, 4642, 698.587, 59691
doublecenter-alpha_1-6-n500.txt, 1, 1, 500, 5051.45, 2868, 3111, 16786, 2.79332e+06, 426263, 4105.45, 3.53363e+06
doublecenter-alpha_3-27-n7.txt, 1, 0.333333, 7, 626.302, 14, 7, 948, 12340, 2089, 243.103, 34410
doublecenter-alpha_3-19-n375.txt, 1, 0.333333, 375, 4591.72, 749, 374, 10412, 508549, 84214, 3516.33, 667199
doublecenter-alpha_3-42-n9.txt, 1, 0.333333, 9, 863.333, 17, 8, 1039, 19417, 3678, 486.189, 50486
doublecenter-alpha_1-64-n20.txt, 1, 1, 20, 1224.16, 97, 102, 971, 78804, 11271, 1067.21, 114784
doublecenter-alpha_1-1-n375.txt, 1, 1, 375, 4311.52, 2251, 2438, 10087, 1.64092e+06, 261781, 3522.96, 2.04006e+06
