Instance Name, Truck Speed, Drone Speed, Number of Nodes, TSP Sol Cost, Arcs in Gaux, Triples, Gaux Ini Time, Gaux Building Time, Shortest Path Time, FSTSP Sol Cost, Average Time (ns)
doublecenter-alpha_3-57-n10.txt, 1, 0.333333, 10, 793.443, 19, 9, 3661, 4059, 1332, 515.045, 61755
doublecenter-alpha_3-41-n9.txt, 1, 0.333333, 9, 884.653, 20, 11, 1684, 4215, 1358, 654.062, 24806
doublecenter-alpha_1-67-n20.txt, 1, 1, 20, 842.264, 178, 158, 4299, 37386, 4353, 631.66, 64689
doublecenter-96-n100.txt, 1, 0.5, 100, 2044.86, 220, 120, 14739, 43272, 6172, 1511.19, 86345
doublecenter-99-n100.txt, 1, 0.5, 100, 1856.9, 246, 146, 16314, 48503, 6952, 1240.33, 93983
doublecenter-alpha_3-55-n10.txt, 1, 0.333333, 10, 1037.04, 21, 11, 3332, 4510, 1381, 569.275, 26799
doublecenter-alpha_3-97-n100.txt, 1, 0.333333, 100, 2134.65, 211, 111, 14346, 40421, 5995, 1546.51, 82737
doublecenter-alpha_1-18-n375.txt, 1, 1, 375, 3716.87, 3016, 2641, 51181, 956255, 77512, 2918.23, 1.14634e+06
doublecenter-alpha_1-19-n6.txt, 1, 1, 6, 549.192, 27, 21, 1300, 5823, 1257, 498.901, 25752
doublecenter-alpha_3-35-n8.txt, 1, 0.333333, 8, 658.277, 15, 7, 1521, 3028, 1136, 563.88, 22987
doublecenter-alpha_3-114-n250.txt, 1, 0.333333, 250, 2881.71, 525, 275, 33252, 102182, 16549, 2014.07, 181642
doublecenter-alpha_1-19-n375.txt, 1, 1, 375, 3984.05, 3207, 2832, 49615, 727179, 63608, 3115.58, 880451
doublecenter-alpha_1-10-n500.txt, 1, 1, 500, 4882.26, 4016, 3516, 102236, 1.03111e+06, 79518, 3844.45, 1.26035e+06
doublecenter-4-n5.txt, 1, 0.5, 5, 476.218, 9, 4, 1163, 1895, 1143, 398.496, 21233
doublecenter-alpha_3-18-n375.txt, 1, 0.333333, 375, 3716.87, 782, 407, 50108, 237645, 36835, 2582.3, 376025
doublecenter-34-n8.txt, 1, 0.5, 8, 1031.84, 17, 9, 1510, 3805, 1266, 692.168, 23850
doublecenter-alpha_3-84-n75.txt, 1, 0.333333, 75, 1990.2, 158, 83, 20676, 40047, 4771, 1368.65, 93339
doublecenter-alpha_1-16-n6.txt, 1, 1, 6, 584.357, 24, 18, 1255, 5029, 1283, 491.084, 24643
doublecenter-36-n8.txt, 1, 0.5, 8, 801.295, 18, 10, 1547, 3901, 1274, 496.184, 24211
doublecenter-57-n10.txt, 1, 0.5, 10, 793.443, 23, 13, 3479, 4991, 1481, 515.211, 28048
doublecenter-14-n375.txt, 1, 0.5, 375, 4073.04, 844, 469, 52391, 167766, 23257, 2803.47, 279111
doublecenter-alpha_1-102-n175.txt, 1, 1, 175, 2617.16, 1617, 1442, 32733, 375846, 30523, 2108.07, 472151
doublecenter-alpha_3-17-n375.txt, 1, 0.333333, 375, 4048.95, 770, 395, 52851, 151575, 21314, 2924.46, 260939
doublecenter-26-n7.txt, 1, 0.5, 7, 536.519, 13, 6, 1774, 2788, 1126, 475.522, 23197
