Instance Name, Truck Speed, Drone Speed, Number of Nodes, TSP Sol Cost, Arcs in Gaux, Triples, Gaux Ini Time, Gaux Building Time, Shortest Path Time, FSTSP Sol Cost, Average Time (ns)
doublecenter-alpha_3-57-n10.txt, 1, 0.333333, 10, 792.45, 21, 11, 856, 4697, 1121, 493.267, 23611
doublecenter-alpha_3-41-n9.txt, 1, 0.333333, 9, 865.611, 20, 11, 618, 4483, 1160, 670.736, 23218
doublecenter-alpha_1-67-n20.txt, 1, 1, 20, 814.52, 118, 124, 745, 34019, 2076, 657.173, 54137
doublecenter-96-n100.txt, 1, 0.5, 100, 2068.61, 212, 112, 1003, 46165, 4081, 1543.45, 68815
doublecenter-99-n100.txt, 1, 0.5, 100, 1823.88, 219, 119, 1054, 76736, 4396, 1318.21, 100132
doublecenter-alpha_3-55-n10.txt, 1, 0.333333, 10, 953.958, 23, 13, 710, 5113, 1070, 507.946, 23663
doublecenter-alpha_3-97-n100.txt, 1, 0.333333, 100, 1989.94, 210, 110, 1432, 75205, 4384, 1416.73, 111873
doublecenter-alpha_1-18-n375.txt, 1, 1, 375, 3779.7, 2337, 2526, 2220, 760643, 30657, 3082.76, 816990
doublecenter-alpha_1-19-n6.txt, 1, 1, 6, 516.415, 21, 21, 805, 6399, 1191, 498.901, 25588
doublecenter-alpha_3-35-n8.txt, 1, 0.333333, 8, 616.589, 15, 7, 835, 3466, 1045, 539.865, 22492
doublecenter-alpha_3-114-n250.txt, 1, 0.333333, 250, 2721.71, 501, 251, 1883, 107678, 9641, 2096.43, 137665
doublecenter-alpha_1-19-n375.txt, 1, 1, 375, 3793.62, 2506, 2692, 2214, 702930, 31378, 3050.89, 755976
doublecenter-alpha_1-10-n500.txt, 1, 1, 500, 5010.15, 3397, 3637, 5469, 1.57091e+06, 54926, 4106.49, 1.6559e+06
doublecenter-4-n5.txt, 1, 0.5, 5, 461.76, 9, 4, 625, 2045, 897, 398.496, 19781
doublecenter-alpha_3-18-n375.txt, 1, 0.333333, 375, 4258.82, 766, 391, 2168, 157011, 14405, 3236.12, 192237
doublecenter-34-n8.txt, 1, 0.5, 8, 942.362, 15, 7, 797, 3364, 1003, 718.493, 21962
doublecenter-alpha_3-84-n75.txt, 1, 0.333333, 75, 2039.43, 158, 83, 2542, 33400, 3257, 1433.9, 56555
doublecenter-alpha_1-16-n6.txt, 1, 1, 6, 592.712, 20, 20, 645, 5897, 1090, 491.084, 24397
doublecenter-36-n8.txt, 1, 0.5, 8, 749.87, 15, 7, 838, 3227, 1011, 552.764, 21785
doublecenter-57-n10.txt, 1, 0.5, 10, 753.952, 21, 11, 639, 4560, 1175, 505.395, 23369
doublecenter-14-n375.txt, 1, 0.5, 375, 4098.9, 827, 452, 2187, 209197, 14525, 2951.85, 244813
doublecenter-alpha_1-102-n175.txt, 1, 1, 175, 2638.29, 1176, 1271, 1356, 334848, 20195, 2130.49, 375552
doublecenter-alpha_3-17-n375.txt, 1, 0.333333, 375, 4185.89, 775, 400, 2095, 165941, 16151, 2990.08, 203652
doublecenter-26-n7.txt, 1, 0.5, 7, 536.169, 13, 6, 645, 2970, 1181, 454.826, 21845
doublecenter-alpha_1-35-n8.txt, 1, 1, 8, 616.589, 31, 31, 881, 8921, 1153, 571.328, 28159
doublecenter-alpha_3-80-n50.txt, 1, 0.333333, 50, 1500.26, 101, 51, 2838, 20692, 3722, 1036.3, 45005
doublecenter-alpha_1-20-n375.txt, 1, 1, 375, 3835.69, 2449, 2637, 2245, 688648, 31547, 3194.74, 741719
doublecenter-alpha_1-76-n50.txt, 1, 1, 50, 1479.27, 313, 334, 2735, 88556, 4962, 1112.32, 114163
doublecenter-alpha_3-7-n500.txt, 1, 0.333333, 500, 4492.82, 1003, 503, 4874, 214214, 16844, 3402.82, 254909
doublecenter-alpha_1-59-n10.txt, 1, 1, 10, 842.195, 35, 36, 646, 10598, 1323, 715.381, 29904
doublecenter-alpha_1-6-n500.txt, 1, 1, 500, 4008.75, 3139, 3387, 5147, 895046, 41865, 3221.25, 962968
doublecenter-alpha_3-27-n7.txt, 1, 0.333333, 7, 562.15, 16, 9, 685, 3888, 1046, 246.607, 22652
doublecenter-alpha_3-19-n375.txt, 1, 0.333333, 375, 3739.66, 761, 386, 2070, 158390, 14114, 2738.66, 193039
doublecenter-alpha_3-42-n9.txt, 1, 0.333333, 9, 839.407, 17, 8, 605, 3721, 1084, 475.535, 22178
doublecenter-alpha_1-64-n20.txt, 1, 1, 20, 1142.86, 105, 112, 678, 30785, 2070, 984.694, 51198
doublecenter-alpha_1-1-n375.txt, 1, 1, 375, 3706.28, 2297, 2493, 2076, 699091, 29424, 3049.29, 751574
doublecenter-alpha_1-86-n75.txt, 1, 1, 75, 1559.88, 533, 571, 3048, 158496, 7320, 1255.69, 186934
doublecenter-75-n50.txt, 1, 0.5, 50, 1415.82, 109, 59, 2787, 22459, 3845, 1104.48, 46597
doublecenter-alpha_1-120-n250.txt, 1, 1, 250, 3160.13, 1749, 1868, 1573, 479105, 21923, 2512.85, 521252
doublecenter-70-n20.txt, 1, 0.5, 20, 894.498, 42, 22, 924, 15086, 1905, 731.504, 41256
doublecenter-alpha_1-43-n9.txt, 1, 1, 9, 631.901, 39, 41, 799, 11318, 1308, 546.628, 30478
doublecenter-alpha_3-46-n9.txt, 1, 0.333333, 9, 584.011, 17, 8, 621, 3696, 1109, 466.784, 22352
doublecenter-alpha_3-47-n9.txt, 1, 0.333333, 9, 725.289, 17, 8, 752, 3706, 1123, 630.251, 22647
doublecenter-alpha_1-74-n50.txt, 1, 1, 50, 1189.89, 329, 351, 2814, 90898, 4526, 970.135, 116098
doublecenter-alpha_1-119-n250.txt, 1, 1, 250, 3139.44, 1955, 2087, 1637, 555425, 22901, 2439.81, 598764
doublecenter-alpha_1-118-n250.txt, 1, 1, 250, 3165.41, 1739, 1858, 1648, 489142, 20734, 2534.74, 530875
doublecenter-alpha_1-60-n10.txt, 1, 1, 10, 874.85, 41, 43, 722, 12130, 1371, 778.348, 31719
doublecenter-3-n5.txt, 1, 0.5, 5, 570.096, 14, 9, 643, 3491, 947, 218.652, 22460
doublecenter-100-n100.txt, 1, 0.5, 100, 2092.68, 212, 112, 1128, 46098, 4288, 1563.23, 69349
doublecenter-95-n100.txt, 1, 0.5, 100, 2149.58, 220, 120, 1052, 49408, 4397, 1569.98, 72787
doublecenter-alpha_3-96-n100.txt, 1, 0.333333, 100, 2029.03, 202, 102, 1218, 44523, 4052, 1440.77, 67936
doublecenter-alpha_1-21-n7.txt, 1, 1, 7, 679.817, 28, 28, 661, 8262, 1070, 640.414, 27528
doublecenter-alpha_3-30-n7.txt, 1, 0.333333, 7, 693.396, 14, 7, 665, 3114, 1024, 511.122, 21853
doublecenter-alpha_3-102-n175.txt, 1, 0.333333, 175, 2475.47, 356, 181, 1330, 78832, 7549, 1743.2, 106194
doublecenter-alpha_1-12-n375.txt, 1, 1, 375, 3885.1, 2653, 2835, 2300, 737116, 32943, 3117.82, 792207
doublecenter-alpha_1-78-n50.txt, 1, 1, 50, 1362.47, 344, 365, 2850, 96484, 4800, 1034.73, 122454
doublecenter-alpha_1-7-n5.txt, 1, 1, 5, 541.405, 15, 13, 639, 4291, 949, 538.141, 22920
doublecenter-90-n75.txt, 1, 0.5, 75, 1526.4, 168, 93, 2946, 37138, 3423, 1055.88, 61418
doublecenter-alpha_3-12-n6.txt, 1, 0.333333, 6, 561.772, 11, 5, 699, 2633, 1051, 416.249, 21664
doublecenter-alpha_1-4-n250.txt, 1, 1, 250, 2947.73, 1440, 1556, 1702, 412643, 19920, 2395.52, 453569
doublecenter-7-n5.txt, 1, 0.5, 5, 541.405, 9, 4, 638, 2039, 875, 513.885, 20568
doublecenter-52-n10.txt, 1, 0.5, 10, 495.803, 20, 10, 727, 4364, 1158, 389.621, 23445
doublecenter-alpha_3-4-n375.txt, 1, 0.333333, 375, 3950.21, 749, 374, 2080, 159221, 14003, 3032.69, 193973
doublecenter-68-n20.txt, 1, 0.5, 20, 777.888, 50, 30, 708, 10917, 1625, 588.822, 30645
doublecenter-alpha_3-1-n250.txt, 1, 0.333333, 250, 2989.83, 510, 260, 1659, 109682, 9506, 2151.87, 139415
doublecenter-alpha_1-83-n75.txt, 1, 1, 75, 1537.2, 846, 882, 2822, 222023, 8456, 1217.73, 251726
doublecenter-alpha_3-109-n175.txt, 1, 0.333333, 175, 2474.29, 351, 176, 1374, 77242, 7342, 1882.28, 104413
doublecenter-53-n10.txt, 1, 0.5, 10, 877.43, 21, 11, 649, 4778, 1148, 645.133, 23749
doublecenter-alpha_3-92-n100.txt, 1, 0.333333, 100, 1924.44, 205, 105, 1058, 45198, 3958, 1403.13, 68028
doublecenter-alpha_1-17-n6.txt, 1, 1, 6, 639.306, 18, 17, 672, 5599, 1053, 460.766, 24493
doublecenter-alpha_1-48-n9.txt, 1, 1, 9, 526.727, 42, 44, 618, 11799, 1245, 431.912, 31096
