Instance Name, Truck Speed, Drone Speed, Number of Nodes, TSP Sol Cost, Arcs in Gaux, Triples, Gaux Ini Time, Gaux Building Time, Shortest Path Time, FSTSP Sol Cost, Average Time (ns)
doublecenter-alpha_3-57-n10.txt, 1, 0.333333, 10, 792.45, 21, 11, 3848, 4749, 1597, 493.267, 28409
doublecenter-alpha_3-41-n9.txt, 1, 0.333333, 9, 865.611, 20, 11, 1749, 36117, 1795, 670.736, 61084
doublecenter-alpha_1-67-n20.txt, 1, 1, 20, 814.52, 144, 124, 6826, 91773, 6772, 657.173, 135698
doublecenter-96-n100.txt, 1, 0.5, 100, 2068.61, 212, 112, 16129, 42868, 6152, 1543.45, 87750
doublecenter-99-n100.txt, 1, 0.5, 100, 1823.88, 219, 119, 15507, 43247, 6348, 1318.21, 87255
doublecenter-alpha_3-55-n10.txt, 1, 0.333333, 10, 953.958, 23, 13, 3769, 5104, 1551, 507.946, 28644
doublecenter-alpha_3-97-n100.txt, 1, 0.333333, 100, 1989.94, 210, 110, 15324, 42397, 6323, 1416.73, 86999
doublecenter-alpha_1-18-n375.txt, 1, 1, 375, 3779.7, 2901, 2526, 52296, 651424, 60882, 3082.76, 803272
doublecenter-alpha_1-19-n6.txt, 1, 1, 6, 516.415, 27, 21, 1277, 5916, 1479, 498.901, 26387
doublecenter-alpha_3-35-n8.txt, 1, 0.333333, 8, 616.589, 15, 7, 1599, 3277, 1225, 539.865, 23645
doublecenter-alpha_3-114-n250.txt, 1, 0.333333, 250, 2721.71, 501, 251, 45494, 109402, 16499, 2096.43, 206434
doublecenter-alpha_1-19-n375.txt, 1, 1, 375, 3793.62, 3067, 2692, 52349, 659857, 61688, 3050.89, 826067
doublecenter-alpha_1-10-n500.txt, 1, 1, 500, 5010.15, 4137, 3637, 125567, 1.75567e+06, 147120, 4106.49, 2.11129e+06
doublecenter-4-n5.txt, 1, 0.5, 5, 461.76, 9, 4, 1455, 1930, 1232, 398.496, 22344
doublecenter-alpha_3-18-n375.txt, 1, 0.333333, 375, 4258.82, 766, 391, 52200, 151108, 21230, 3236.12, 260077
doublecenter-34-n8.txt, 1, 0.5, 8, 942.362, 15, 7, 1565, 3212, 1308, 718.493, 23854
doublecenter-alpha_3-84-n75.txt, 1, 0.333333, 75, 2039.43, 158, 83, 11920, 32284, 4839, 1433.9, 70810
doublecenter-alpha_1-16-n6.txt, 1, 1, 6, 592.712, 26, 20, 1288, 5551, 1371, 491.084, 25714
doublecenter-36-n8.txt, 1, 0.5, 8, 749.87, 15, 7, 1608, 3336, 1256, 552.764, 24272
doublecenter-57-n10.txt, 1, 0.5, 10, 753.952, 21, 11, 4334, 4525, 1668, 505.395, 31181
doublecenter-14-n375.txt, 1, 0.5, 375, 4098.9, 827, 452, 51587, 164388, 23191, 2951.85, 274035
doublecenter-alpha_1-102-n175.txt, 1, 1, 175, 2638.29, 1446, 1271, 39942, 448734, 29221, 2130.49, 572130
doublecenter-alpha_3-17-n375.txt, 1, 0.333333, 375, 4185.89, 775, 400, 52656, 149468, 21566, 2990.08, 258858
doublecenter-26-n7.txt, 1, 0.5, 7, 536.169, 13, 6, 1550, 2817, 1300, 454.826, 23337
doublecenter-alpha_1-35-n8.txt, 1, 1, 8, 616.589, 39, 31, 2365, 8265, 1853, 571.328, 30531
doublecenter-alpha_3-80-n50.txt, 1, 0.333333, 50, 1500.26, 101, 51, 8989, 20264, 3389, 1036.3, 52668
doublecenter-alpha_1-20-n375.txt, 1, 1, 375, 3835.69, 3012, 2637, 53194, 632917, 113858, 3194.74, 840039
doublecenter-alpha_1-76-n50.txt, 1, 1, 50, 1479.27, 384, 334, 8875, 82277, 8831, 1112.32, 120935
doublecenter-alpha_3-7-n500.txt, 1, 0.333333, 500, 4492.82, 1003, 503, 74245, 196865, 28484, 3402.82, 346039
doublecenter-alpha_1-59-n10.txt, 1, 1, 10, 842.195, 46, 36, 3604, 9916, 1905, 715.381, 33811
doublecenter-alpha_1-6-n500.txt, 1, 1, 500, 4008.75, 3887, 3387, 110662, 1.36417e+06, 121232, 3221.25, 1.66953e+06
doublecenter-alpha_3-27-n7.txt, 1, 0.333333, 7, 562.15, 16, 9, 3196, 5496, 2173, 246.607, 36893
doublecenter-alpha_3-19-n375.txt, 1, 0.333333, 375, 3739.66, 761, 386, 80664, 159971, 21023, 2738.66, 296553
doublecenter-alpha_3-42-n9.txt, 1, 0.333333, 9, 839.407, 17, 8, 1486, 3607, 1340, 475.535, 24557
doublecenter-alpha_1-64-n20.txt, 1, 1, 20, 1142.86, 132, 112, 3987, 26740, 3386, 984.694, 52061
doublecenter-alpha_1-1-n375.txt, 1, 1, 375, 3706.28, 2868, 2493, 65773, 586962, 60637, 3049.29, 749557
doublecenter-alpha_1-86-n75.txt, 1, 1, 75, 1559.88, 646, 571, 11964, 136788, 13282, 1255.69, 184203
doublecenter-75-n50.txt, 1, 0.5, 50, 1415.82, 109, 59, 13723, 37848, 7921, 1104.48, 92697
doublecenter-alpha_1-120-n250.txt, 1, 1, 250, 3160.13, 2118, 1868, 41232, 713024, 79002, 2512.85, 880504
doublecenter-70-n20.txt, 1, 0.5, 20, 894.498, 42, 22, 4590, 9145, 2019, 731.504, 35098
doublecenter-alpha_1-43-n9.txt, 1, 1, 9, 631.901, 50, 41, 1973, 11032, 2055, 546.628, 33931
doublecenter-alpha_3-46-n9.txt, 1, 0.333333, 9, 584.011, 17, 8, 2669, 5861, 2043, 466.784, 33419
doublecenter-alpha_3-47-n9.txt, 1, 0.333333, 9, 725.289, 17, 8, 3853, 6530, 2341, 630.251, 40850
doublecenter-alpha_1-74-n50.txt, 1, 1, 50, 1189.89, 401, 351, 9527, 86692, 10208, 970.135, 127769
doublecenter-alpha_1-119-n250.txt, 1, 1, 250, 3139.44, 2337, 2087, 34427, 544541, 45106, 2439.81, 658616
doublecenter-alpha_1-118-n250.txt, 1, 1, 250, 3165.41, 2108, 1858, 57913, 743734, 80403, 2534.74, 936542
doublecenter-alpha_1-60-n10.txt, 1, 1, 10, 874.85, 53, 43, 4390, 18166, 3089, 778.348, 58740
doublecenter-3-n5.txt, 1, 0.5, 5, 570.096, 14, 9, 2241, 4820, 1896, 218.652, 30882
doublecenter-100-n100.txt, 1, 0.5, 100, 2092.68, 212, 112, 17810, 43211, 6926, 1563.23, 91577
doublecenter-95-n100.txt, 1, 0.5, 100, 2149.58, 220, 120, 16461, 44381, 6756, 1569.98, 90630
doublecenter-alpha_3-96-n100.txt, 1, 0.333333, 100, 2029.03, 202, 102, 15242, 40249, 5906, 1440.77, 84064
doublecenter-alpha_1-21-n7.txt, 1, 1, 7, 679.817, 35, 28, 1609, 7680, 1663, 640.414, 28674
doublecenter-alpha_3-30-n7.txt, 1, 0.333333, 7, 693.396, 14, 7, 1338, 3021, 1278, 511.122, 23439
doublecenter-alpha_3-102-n175.txt, 1, 0.333333, 175, 2475.47, 356, 181, 26558, 70631, 9608, 1743.2, 133152
doublecenter-alpha_1-12-n375.txt, 1, 1, 375, 3885.1, 3210, 2835, 55459, 674639, 64668, 3117.82, 832100
doublecenter-alpha_1-78-n50.txt, 1, 1, 50, 1362.47, 415, 365, 9050, 88978, 9240, 1034.73, 128379
doublecenter-alpha_1-7-n5.txt, 1, 1, 5, 541.405, 18, 13, 1196, 3961, 1131, 538.141, 23719
doublecenter-90-n75.txt, 1, 0.5, 75, 1526.4, 168, 93, 12093, 39190, 5333, 1055.88, 79043
doublecenter-alpha_3-12-n6.txt, 1, 0.333333, 6, 561.772, 11, 5, 1414, 2577, 1351, 416.249, 23755
doublecenter-alpha_1-4-n250.txt, 1, 1, 250, 2947.73, 1806, 1556, 36261, 371149, 38983, 2395.52, 477485
doublecenter-7-n5.txt, 1, 0.5, 5, 541.405, 9, 4, 1613, 1959, 1107, 513.885, 22152
doublecenter-52-n10.txt, 1, 0.5, 10, 495.803, 20, 10, 3516, 4345, 1450, 389.621, 27783
doublecenter-alpha_3-4-n375.txt, 1, 0.333333, 375, 3950.21, 749, 374, 51606, 143631, 20005, 3032.69, 249180
doublecenter-68-n20.txt, 1, 0.5, 20, 777.888, 50, 30, 4211, 10361, 2396, 588.822, 35560
doublecenter-alpha_3-1-n250.txt, 1, 0.333333, 250, 2989.83, 510, 260, 33571, 98519, 15881, 2151.87, 177443
doublecenter-alpha_1-83-n75.txt, 1, 1, 75, 1537.2, 957, 882, 11429, 204626, 17036, 1217.73, 255746
doublecenter-alpha_3-109-n175.txt, 1, 0.333333, 175, 2474.29, 351, 176, 26280, 106123, 9468, 1882.28, 169169
doublecenter-53-n10.txt, 1, 0.5, 10, 877.43, 21, 11, 3592, 4353, 1807, 645.133, 27743
doublecenter-alpha_3-92-n100.txt, 1, 0.333333, 100, 1924.44, 205, 105, 14418, 39643, 5763, 1403.13, 81431
doublecenter-alpha_1-17-n6.txt, 1, 1, 6, 639.306, 23, 17, 1208, 5076, 1342, 460.766, 24871
doublecenter-alpha_1-48-n9.txt, 1, 1, 9, 526.727, 53, 44, 1396, 10874, 1798, 431.912, 31961
doublecenter-106-n175.txt, 1, 0.5, 175, 2666.24, 378, 203, 25901, 73955, 9640, 1980.92, 134791
doublecenter-alpha_1-114-n250.txt, 1, 1, 250, 2879.72, 2005, 1755, 70114, 429705, 41296, 2426.6, 578814
doublecenter-alpha_1-84-n75.txt, 1, 1, 75, 1949.6, 550, 475, 11319, 114619, 11632, 1618.68, 159040
doublecenter-62-n20.txt, 1, 0.5, 20, 879.294, 40, 20, 4142, 8031, 1796, 693.244, 32085
doublecenter-alpha_1-66-n20.txt, 1, 1, 20, 756.625, 162, 142, 4110, 34062, 3799, 668.554, 60347
doublecenter-2-n5.txt, 1, 0.5, 5, 459.018, 12, 7, 1158, 2528, 1120, 171.55, 21852
doublecenter-alpha_1-56-n10.txt, 1, 1, 10, 770.484, 60, 50, 3916, 13455, 15039, 621.037, 50744
doublecenter-alpha_1-8-n5.txt, 1, 1, 5, 710.08, 17, 12, 1448, 3795, 1246, 408.98, 24040
doublecenter-2-n375.txt, 1, 0.5, 375, 3710.65, 800, 425, 65592, 191309, 23203, 2669.79, 321021
doublecenter-alpha_3-21-n7.txt, 1, 0.333333, 7, 704.97, 13, 6, 1639, 2946, 1278, 465.734, 24066
doublecenter-77-n50.txt, 1, 0.5, 50, 1270.16, 110, 60, 8944, 22723, 3609, 966.524, 55722
doublecenter-93-n100.txt, 1, 0.5, 100, 1712.18, 224, 124, 15450, 45598, 6472, 1235.5, 91104
doublecenter-alpha_1-38-n8.txt, 1, 1, 8, 754.847, 35, 27, 1625, 7640, 1521, 640.75, 28718
doublecenter-alpha_1-111-n250.txt, 1, 1, 250, 3142.77, 2016, 1766, 33976, 498057, 51062, 2624.53, 620304
doublecenter-23-n7.txt, 1, 0.5, 7, 637.229, 14, 7, 1456, 3211, 1240, 490.786, 23801
doublecenter-19-n6.txt, 1, 0.5, 6, 516.415, 18, 12, 1258, 3906, 1251, 249.451, 24193
doublecenter-alpha_3-3-n5.txt, 1, 0.333333, 5, 570.096, 14, 9, 1179, 3112, 1139, 189.826, 22789
doublecenter-alpha_1-101-n175.txt, 1, 1, 175, 2293.81, 1333, 1158, 76566, 281214, 27127, 1859.74, 415181
doublecenter-alpha_1-28-n7.txt, 1, 1, 7, 670.512, 34, 27, 1448, 7499, 1588, 562.575, 28539
doublecenter-32-n8.txt, 1, 0.5, 8, 635.889, 15, 7, 1545, 3057, 1200, 483.193, 23449
doublecenter-43-n9.txt, 1, 0.5, 9, 649.623, 17, 8, 1508, 3520, 1333, 492.398, 24626
doublecenter-1-n375.txt, 1, 0.5, 375, 3800.14, 816, 441, 54042, 165460, 22683, 2843.74, 277866
doublecenter-13-n500.txt, 1, 0.5, 500, 4288.96, 1066, 566, 112908, 345311, 52813, 3219.7, 591849
doublecenter-alpha_3-82-n75.txt, 1, 0.333333, 75, 1668.93, 154, 79, 12722, 32020, 4621, 1222.8, 70941
doublecenter-alpha_3-74-n50.txt, 1, 0.333333, 50, 1227.43, 101, 51, 9108, 20874, 3491, 934.409, 54224
doublecenter-12-n6.txt, 1, 0.5, 6, 538.185, 13, 7, 1264, 2987, 1198, 418.909, 23124
doublecenter-alpha_3-110-n175.txt, 1, 0.333333, 175, 2609.14, 352, 177, 27060, 71280, 9349, 1938.36, 133935
doublecenter-alpha_1-37-n8.txt, 1, 1, 8, 503.667, 44, 36, 2238, 14820, 2499, 422.805, 41633
doublecenter-alpha_3-77-n50.txt, 1, 0.333333, 50, 1247.82, 99, 49, 14292, 31064, 3787, 893.144, 76629
doublecenter-45-n9.txt, 1, 0.5, 9, 592.848, 20, 11, 2080, 8042, 1620, 499.215, 35837
doublecenter-alpha_3-60-n10.txt, 1, 0.333333, 10, 874.85, 19, 9, 3489, 4100, 1351, 725.965, 27506
doublecenter-alpha_3-73-n50.txt, 1, 0.333333, 50, 1226.3, 102, 52, 9151, 20890, 3564, 882.793, 54290
doublecenter-4-n250.txt, 1, 0.5, 250, 2952.16, 521, 271, 36156, 143181, 18786, 2245.05, 234148
doublecenter-alpha_3-14-n500.txt, 1, 0.333333, 500, 4498.98, 1009, 509, 75839, 203073, 29845, 3419.28, 355841
doublecenter-alpha_3-6-n500.txt, 1, 0.333333, 500, 4082.08, 1008, 508, 75237, 203033, 31441, 3114.64, 357175
doublecenter-alpha_3-66-n20.txt, 1, 0.333333, 20, 827.762, 39, 19, 4506, 8132, 4434, 651.634, 36495
doublecenter-alpha_1-45-n9.txt, 1, 1, 9, 566.44, 52, 43, 1657, 13759, 1889, 515.226, 35743
