Instance Name, Truck Speed, Drone Speed, Number of Nodes, TSP Sol Cost, Arcs in Gaux, Triples, Gaux Ini Time, Gaux Building Time, Shortest Path Time, FSTSP Sol Cost, Average Time (ns)
doublecenter-alpha_3-57-n10.txt, 1, 0.333333, 10, 881.533, 19, 9, 743, 4453, 1169, 553.608, 25121
doublecenter-alpha_3-41-n9.txt, 1, 0.333333, 9, 895.082, 17, 8, 682, 4103, 1170, 698.553, 24846
doublecenter-alpha_1-67-n20.txt, 1, 1, 20, 1035.39, 130, 110, 1154, 40151, 3080, 696.201, 73784
doublecenter-96-n100.txt, 1, 0.5, 100, 2164.34, 209, 109, 1174, 49144, 4303, 1640.88, 74169
doublecenter-99-n100.txt, 1, 0.5, 100, 2277.94, 208, 108, 1281, 50311, 4393, 1631.63, 75759
doublecenter-alpha_3-55-n10.txt, 1, 0.333333, 10, 1116.92, 19, 9, 741, 4529, 1158, 753.435, 25227
doublecenter-alpha_3-97-n100.txt, 1, 0.333333, 100, 2474.02, 199, 99, 1116, 48245, 4073, 1856.32, 72769
doublecenter-alpha_1-18-n375.txt, 1, 1, 375, 4492.14, 2874, 2499, 2313, 794310, 36015, 3423.37, 856912
doublecenter-alpha_1-19-n6.txt, 1, 1, 6, 549.192, 27, 21, 637, 5938, 1069, 498.901, 24952
doublecenter-alpha_3-35-n8.txt, 1, 0.333333, 8, 620.696, 15, 7, 856, 3299, 950, 545.651, 22122
doublecenter-alpha_3-114-n250.txt, 1, 0.333333, 250, 3032.93, 499, 249, 1743, 103845, 9303, 2354.76, 132937
doublecenter-alpha_1-19-n375.txt, 1, 1, 375, 4591.72, 2763, 2388, 2058, 592889, 33102, 3854.42, 647112
doublecenter-alpha_1-10-n500.txt, 1, 1, 500, 5675.29, 3860, 3360, 4504, 807677, 45492, 4745.99, 890300
doublecenter-4-n5.txt, 1, 0.5, 5, 476.218, 9, 4, 640, 2080, 894, 398.496, 55581
doublecenter-alpha_3-18-n375.txt, 1, 0.333333, 375, 4492.14, 750, 375, 2127, 212993, 13718, 2969.36, 247109
doublecenter-34-n8.txt, 1, 0.5, 8, 1052.97, 15, 7, 875, 3200, 1038, 625.689, 21775
doublecenter-alpha_3-84-n75.txt, 1, 0.333333, 75, 2109.01, 149, 74, 2731, 30535, 2940, 1630.06, 53602
doublecenter-alpha_1-16-n6.txt, 1, 1, 6, 592.712, 26, 20, 653, 5709, 1057, 491.084, 24136
doublecenter-36-n8.txt, 1, 0.5, 8, 749.87, 15, 7, 815, 3214, 983, 552.764, 21711
doublecenter-57-n10.txt, 1, 0.5, 10, 881.533, 19, 9, 716, 4071, 1169, 553.608, 23127
doublecenter-14-n375.txt, 1, 0.5, 375, 4837.91, 795, 420, 2163, 167181, 13745, 3381.66, 201611
doublecenter-alpha_1-102-n175.txt, 1, 1, 175, 3111.13, 1406, 1231, 1338, 301854, 17356, 2438.52, 339220
doublecenter-alpha_3-17-n375.txt, 1, 0.333333, 375, 4493.01, 751, 376, 2101, 154492, 14437, 3197.57, 189645
doublecenter-26-n7.txt, 1, 0.5, 7, 536.169, 13, 6, 631, 2802, 1011, 454.826, 21213
doublecenter-alpha_1-35-n8.txt, 1, 1, 8, 620.696, 42, 34, 934, 9179, 1468, 575.436, 29264
doublecenter-alpha_3-80-n50.txt, 1, 0.333333, 50, 1816.35, 99, 49, 2725, 20295, 3837, 1152.3, 44117
doublecenter-alpha_1-20-n375.txt, 1, 1, 375, 4244.21, 2821, 2446, 2209, 602754, 35554, 3467.04, 659935
doublecenter-alpha_1-76-n50.txt, 1, 1, 50, 1917.5, 425, 375, 2878, 90635, 5658, 1466.71, 117005
doublecenter-alpha_3-7-n500.txt, 1, 0.333333, 500, 5118.21, 999, 499, 4698, 207424, 15913, 4004.71, 246661
doublecenter-alpha_1-59-n10.txt, 1, 1, 10, 862.905, 49, 39, 660, 10588, 1370, 698.587, 29781
doublecenter-alpha_1-6-n500.txt, 1, 1, 500, 5051.45, 3611, 3111, 5293, 815595, 44041, 4105.45, 884914
doublecenter-alpha_3-27-n7.txt, 1, 0.333333, 7, 626.302, 14, 7, 636, 3086, 1028, 243.103, 21804
doublecenter-alpha_3-19-n375.txt, 1, 0.333333, 375, 4591.72, 749, 374, 2376, 151500, 12943, 3516.33, 185521
doublecenter-alpha_3-42-n9.txt, 1, 0.333333, 9, 863.333, 17, 8, 703, 3669, 1000, 486.189, 22211
doublecenter-alpha_1-64-n20.txt, 1, 1, 20, 1224.16, 122, 102, 686, 27661, 2186, 1067.21, 47867
doublecenter-alpha_1-1-n375.txt, 1, 1, 375, 4311.52, 2813, 2438, 2132, 657889, 33357, 3522.96, 712070
doublecenter-alpha_1-86-n75.txt, 1, 1, 75, 1835.85, 510, 435, 2787, 110843, 7018, 1432.49, 138453
doublecenter-75-n50.txt, 1, 0.5, 50, 1677.84, 101, 51, 2756, 20357, 3655, 1228.14, 44311
doublecenter-alpha_1-120-n250.txt, 1, 1, 250, 3355.99, 1905, 1655, 1608, 472133, 23777, 2745.75, 517561
doublecenter-70-n20.txt, 1, 0.5, 20, 985.755, 41, 21, 700, 8430, 1512, 754.271, 28166
doublecenter-alpha_1-43-n9.txt, 1, 1, 9, 631.901, 50, 41, 652, 10393, 1306, 546.628, 29283
doublecenter-alpha_3-46-n9.txt, 1, 0.333333, 9, 658.617, 17, 8, 618, 3622, 1002, 489.622, 21907
doublecenter-alpha_3-47-n9.txt, 1, 0.333333, 9, 818.627, 17, 8, 611, 3715, 1078, 663.227, 22578
doublecenter-alpha_1-74-n50.txt, 1, 1, 50, 1314.93, 338, 288, 2459, 72753, 4976, 1083.59, 97984
doublecenter-alpha_1-119-n250.txt, 1, 1, 250, 3578.92, 2181, 1931, 1629, 473194, 27839, 2721.67, 521788
doublecenter-alpha_1-118-n250.txt, 1, 1, 250, 3668.47, 1938, 1688, 1663, 421518, 24171, 2956.41, 466847
doublecenter-alpha_1-60-n10.txt, 1, 1, 10, 1113.07, 51, 41, 999, 18275, 1757, 883.243, 47765
doublecenter-3-n5.txt, 1, 0.5, 5, 621.379, 12, 7, 710, 2868, 1010, 218.652, 22085
doublecenter-100-n100.txt, 1, 0.5, 100, 2139.33, 227, 127, 1066, 49016, 4523, 1420.68, 72486
doublecenter-95-n100.txt, 1, 0.5, 100, 2423.91, 215, 115, 1103, 46304, 4260, 1614.98, 69523
doublecenter-alpha_3-96-n100.txt, 1, 0.333333, 100, 2164.34, 199, 99, 1052, 44234, 3620, 1640.87, 66812
doublecenter-alpha_1-21-n7.txt, 1, 1, 7, 747.538, 32, 25, 668, 7219, 1279, 640.414, 26438
doublecenter-alpha_3-30-n7.txt, 1, 0.333333, 7, 720.747, 13, 6, 650, 2869, 995, 511.122, 21643
doublecenter-alpha_3-102-n175.txt, 1, 0.333333, 175, 3111.13, 349, 174, 1364, 77949, 7288, 2206.66, 105108
doublecenter-alpha_1-12-n375.txt, 1, 1, 375, 4719.14, 2963, 2588, 2470, 647421, 39906, 3718.24, 709285
doublecenter-alpha_1-78-n50.txt, 1, 1, 50, 1596.55, 372, 322, 2749, 79795, 6377, 1204.66, 106932
doublecenter-alpha_1-7-n5.txt, 1, 1, 5, 541.755, 19, 14, 664, 4193, 1047, 538.141, 23030
doublecenter-90-n75.txt, 1, 0.5, 75, 1711.47, 161, 86, 2926, 34693, 3221, 1211.22, 58923
doublecenter-alpha_3-12-n6.txt, 1, 0.333333, 6, 540.077, 11, 5, 733, 2428, 969, 469.001, 21125
doublecenter-alpha_1-4-n250.txt, 1, 1, 250, 3775.04, 1913, 1663, 1652, 420242, 23675, 3179.81, 464937
doublecenter-7-n5.txt, 1, 0.5, 5, 541.755, 9, 4, 735, 2103, 982, 512.937, 20949
doublecenter-52-n10.txt, 1, 0.5, 10, 496.806, 19, 9, 678, 4048, 1147, 379.401, 22856
doublecenter-alpha_3-4-n375.txt, 1, 0.333333, 375, 4106.52, 749, 374, 2056, 151579, 13565, 3088.35, 185933
doublecenter-68-n20.txt, 1, 0.5, 20, 887.238, 42, 22, 674, 8729, 1368, 708.373, 27702
doublecenter-alpha_3-1-n250.txt, 1, 0.333333, 250, 3910.96, 499, 249, 1590, 101125, 8647, 2848.42, 128978
doublecenter-alpha_1-83-n75.txt, 1, 1, 75, 1826.79, 573, 498, 2810, 119772, 7237, 1517.09, 147533
doublecenter-alpha_3-109-n175.txt, 1, 0.333333, 175, 2936.39, 349, 174, 1387, 73425, 7006, 2265.87, 99879
doublecenter-53-n10.txt, 1, 0.5, 10, 823.122, 21, 11, 635, 4548, 1174, 591.126, 23042
doublecenter-alpha_3-92-n100.txt, 1, 0.333333, 100, 2153.92, 199, 99, 1006, 41760, 3448, 1434.66, 63265
